Province,Cluster,Confirmed,Cured,Dead
香港,4,5364,5139,107
陕西,2,463,429,3
甘肃,1,180,176,2
福建,2,455,417,1
天津,1,275,260,3
四川,2,767,722,3
新疆,3,980,903,3
山东,3,848,839,7
上海,3,1234,1122,7
广东,3,1943,1902,8
山西,1,216,213,0
内蒙古,1,303,270,1
台湾,2,573,523,7
浙江,3,1288,1279,1
辽宁,1,284,279,2
云南,1,214,208,2
河南,3,1286,1258,22
北京,3,945,929,9
江苏,2,674,666,0
河北,2,373,360,6
湖北,5,68143,63627,4512
重庆,2,589,580,6
湖南,3,1020,1015,4
黑龙江,3,949,935,13
广西,1,260,258,2
江西,3,935,931,1
吉林,1,157,155,2
澳门,1,46,46,0
海南,1,171,165,6
安徽,3,991,985,6
贵州,1,147,145,2
宁夏,1,75,75,0
青海,1,18,18,0
西藏,1,1,1,0
