provinceName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
台湾,3190787,13742,4868,2022-06-17 10:54:29
上海,63152,62409,595,2022-06-17 04:01:36
重庆,721,707,6,2022-06-17 03:41:30
湖北,68400,63887,4512,2022-06-17 03:40:24
湖南,1398,1389,4,2022-06-17 03:39:18
香港,334215,63056,9392,2022-06-17 03:31:38
陕西,3305,3281,3,2022-06-17 03:30:32
福建,3359,3298,1,2022-06-17 03:29:28
四川,2362,2335,3,2022-06-17 03:28:25
浙江,3147,3132,1,2022-06-17 03:24:55
内蒙古,2073,1758,1,2022-06-17 03:22:43
辽宁,1713,1683,2,2022-06-17 02:57:36
北京,3644,3403,9,2022-06-17 02:50:02
广东,7361,7309,8,2022-06-17 02:45:39
云南,2157,2148,2,2022-06-17 02:40:15
天津,1985,1954,3,2022-06-16 03:42:15
河北,2007,1998,7,2022-06-16 02:54:10
江苏,2236,2235,0,2022-06-15 04:03:47
广西,1649,1642,2,2022-06-15 03:35:10
河南,3183,3160,22,2022-06-14 03:49:44
黑龙江,2986,2971,13,2022-06-13 02:55:22
山东,2738,2728,7,2022-06-12 03:11:00
山西,423,421,0,2022-06-10 04:05:52
澳门,83,83,0,2022-06-10 03:38:07
吉林,40293,40288,5,2022-06-09 03:45:04
青海,147,147,0,2022-06-04 04:18:21
海南,288,282,6,2022-05-29 05:12:08
江西,1383,1382,1,2022-05-28 06:45:52
贵州,185,183,2,2022-05-28 06:45:52
安徽,1065,1059,6,2022-05-19 09:59:07
新疆,1008,1005,3,2022-05-09 10:27:46
甘肃,681,679,2,2022-04-19 06:23:01
宁夏,122,122,0,2021-11-29 02:53:04
西藏,1,1,0,2021-09-03 13:55:09
